proddate;idno;cntry;dweight;stflife;health;dosprt;gndr
20.11.2024;50014;AT;1.1851145;8;3;3;1
20.11.2024;50030;AT;0.6098981;9;2;5;2
20.11.2024;50057;AT;1.3923296;10;1;3;2
20.11.2024;50106;AT;0.5560615;7;3;3;2
20.11.2024;50145;AT;0.7227953;9;2;3;1
20.11.2024;50158;AT;0.9926053;8;1;4;2
20.11.2024;50211;AT;0.5403178;8;2;4;2
20.11.2024;50212;AT;0.81462234;8;2;2;2
20.11.2024;50213;AT;1.3649563;8;2;2;2
20.11.2024;50235;AT;0.872949;8;2;1;2
20.11.2024;50236;AT;0.6989865;8;2;5;2
20.11.2024;50238;AT;0.8320375;5;2;5;1
20.11.2024;50240;AT;0.87345386;8;2;3;2
20.11.2024;50248;AT;0.9025512;8;3;2;2
20.11.2024;50270;AT;0.58181804;3;3;77;2
20.11.2024;50281;AT;0.69352174;9;1;5;2
20.11.2024;50310;AT;2.3245115;10;1;1;1
20.11.2024;50311;AT;0.9926053;6;2;4;2
20.11.2024;50324;AT;1.0702981;7;1;7;1
20.11.2024;50339;AT;0.5560615;5;2;7;1
20.11.2024;50341;AT;0.48294935;8;2;5;2
20.11.2024;50349;AT;0.9926053;8;2;7;1
20.11.2024;50355;AT;0.7366085;5;1;4;1
20.11.2024;50358;AT;1.9501987;9;1;5;1
20.11.2024;50363;AT;1.9560468;8;1;3;2
20.11.2024;50367;AT;0.6098981;8;3;0;2
20.11.2024;50375;AT;1.4462273;8;2;2;2
20.11.2024;50380;AT;1.298475;8;2;0;2
20.11.2024;50412;AT;1.329427;7;1;3;2
20.11.2024;50423;AT;0.4598905;7;3;7;2
20.11.2024;50427;AT;1.4547197;8;2;4;2
20.11.2024;50433;AT;0.6670056;8;1;7;1
20.11.2024;50441;AT;0.9669464;8;1;0;2
20.11.2024;50446;AT;0.7417395;7;2;7;2
20.11.2024;50465;AT;0.7803352;8;3;2;2
20.11.2024;50468;AT;1.2012872;10;2;4;2
20.11.2024;50489;AT;1.5597948;8;2;7;2
20.11.2024;50512;AT;1.4378188;10;1;6;2
20.11.2024;50517;AT;0.9332868;8;3;7;1
20.11.2024;50577;AT;0.82740283;7;2;7;1
20.11.2024;50591;AT;0.41601875;8;3;2;2
20.11.2024;50592;AT;0.6494272;10;2;0;2
20.11.2024;50611;AT;1.073635;8;1;5;2
20.11.2024;50623;AT;0.9099707;9;1;6;2
20.11.2024;50637;AT;0.68042654;8;2;0;1
20.11.2024;50638;AT;0.55606145;7;3;2;1
20.11.2024;50651;AT;0.4991056;8;1;4;2
20.11.2024;50681;AT;1.159529;8;2;3;1
20.11.2024;50687;AT;0.7417395;4;3;88;1
20.11.2024;50707;AT;1.021017;4;2;7;2
20.11.2024;50714;AT;2.319058;5;4;3;1
20.11.2024;50730;AT;0.80748725;9;2;4;1
20.11.2024;50732;AT;1.6209532;8;1;3;2
20.11.2024;50735;AT;0.3912093;8;1;5;1
20.11.2024;50812;AT;0.9812141;8;1;7;2
20.11.2024;50868;AT;0.4114013;2;3;3;2
20.11.2024;50897;AT;0.5487113;7;3;2;2
20.11.2024;50910;AT;0.5079797;8;2;2;2
20.11.2024;50979;AT;0.6465898;8;2;6;1
20.11.2024;50994;AT;1.483479;6;3;6;2
20.11.2024;50995;AT;1.2219335;8;2;1;2
20.11.2024;51015;AT;0.9658987;8;3;1;1
20.11.2024;51029;AT;0.65483123;6;3;2;1
20.11.2024;51042;AT;1.6681843;7;2;3;2
20.11.2024;51046;AT;0.47378042;6;3;0;2
20.11.2024;51086;AT;0.41370142;8;1;4;2
20.11.2024;51112;AT;1.6209534;8;2;1;1
20.11.2024;51128;AT;2.2314548;9;2;4;1
20.11.2024;51136;AT;1.2440618;9;2;3;2
20.11.2024;51181;AT;1.3709402;8;3;0;1
20.11.2024;51190;AT;1.073635;8;2;3;1
20.11.2024;51191;AT;0.8656501;8;3;1;2
20.11.2024;51192;AT;0.99821126;10;1;7;2
20.11.2024;51221;AT;1.3078376;9;1;2;2
20.11.2024;51224;AT;0.8146224;10;1;3;1
20.11.2024;51231;AT;0.9982112;8;2;5;2
20.11.2024;51259;AT;0.426831;7;1;3;1
20.11.2024;51262;AT;1.3870435;7;3;1;1
20.11.2024;51285;AT;1.6104527;8;1;6;2
20.11.2024;51322;AT;0.340339;8;1;2;1
20.11.2024;51414;AT;0.5560615;8;2;5;2
20.11.2024;51440;AT;0.581818;8;1;3;1
20.11.2024;51455;AT;2.165643;8;2;3;1
20.11.2024;51503;AT;0.37437;8;2;0;1
20.11.2024;51504;AT;0.4350144;5;2;4;1
20.11.2024;51506;AT;2.495528;10;1;7;1
20.11.2024;51521;AT;1.3608531;10;1;5;1
20.11.2024;51555;AT;0.53514904;6;1;4;1
20.11.2024;51578;AT;1.2337465;8;2;4;1
20.11.2024;51581;AT;0.6098981;9;2;3;1
20.11.2024;51596;AT;0.8885217;9;2;6;1
20.11.2024;51650;AT;0.5797645;10;1;7;2
20.11.2024;51713;AT;0.7275956;8;2;4;1
20.11.2024;51719;AT;0.47378042;6;4;0;2
20.11.2024;51720;AT;0.9658987;4;2;3;2
20.11.2024;51731;AT;2.946434;9;2;1;1
20.11.2024;51735;AT;0.51291066;6;3;0;2
20.11.2024;51736;AT;0.95292634;6;2;2;1
20.11.2024;51739;AT;1.7134386;7;2;3;2
20.11.2024;51741;AT;1.112123;5;3;3;1
20.11.2024;51757;AT;1.2219335;10;1;6;1
20.11.2024;51766;AT;0.7366085;5;5;0;1
20.11.2024;51773;AT;0.46543378;3;2;2;1
20.11.2024;51780;AT;1.6681843;9;2;2;2
20.11.2024;51802;AT;0.7417395;8;1;5;1
20.11.2024;51857;AT;0.5797645;8;3;0;2
20.11.2024;51878;AT;0.41946852;4;4;5;1
20.11.2024;51897;AT;1.3340112;8;3;7;1
20.11.2024;51901;AT;0.49469304;8;2;3;2
20.11.2024;51911;AT;0.65483123;6;2;7;2
20.11.2024;51944;AT;0.74874;8;1;88;2
20.11.2024;51959;AT;1.6681842;8;3;5;1
20.11.2024;51961;AT;2.165643;10;1;0;1
20.11.2024;51965;AT;0.48294932;10;1;7;2
20.11.2024;51977;AT;1.2197962;8;2;1;2
20.11.2024;51995;AT;1.112123;8;1;6;1
20.11.2024;52009;AT;0.71400285;9;2;7;2
20.11.2024;52020;AT;0.88628477;9;4;1;1
20.11.2024;52035;AT;1.021017;8;2;2;2
20.11.2024;52046;AT;0.5023222;9;1;7;1
20.11.2024;52062;AT;0.4820758;9;1;1;2
20.11.2024;52065;AT;1.3078378;7;2;2;1
20.11.2024;52089;AT;0.68042654;9;1;5;2
20.11.2024;52094;AT;1.746908;8;2;0;1
20.11.2024;52117;AT;1.0973082;8;1;4;2
20.11.2024;52135;AT;0.4328124;10;1;3;2
20.11.2024;52150;AT;0.53681755;9;4;1;2
20.11.2024;52170;AT;1.4876366;4;4;0;2
20.11.2024;52179;AT;1.8968233;10;3;3;1
20.11.2024;52249;AT;2.0805652;8;2;7;1
20.11.2024;52271;AT;0.9475608;7;2;4;1
20.11.2024;52278;AT;1.4462273;8;2;2;1
20.11.2024;52280;AT;0.83968544;8;1;0;2
20.11.2024;52284;AT;0.98635733;8;2;4;1
20.11.2024;52285;AT;0.94756085;6;2;2;1
20.11.2024;52286;AT;0.87345386;7;2;3;2
20.11.2024;52289;AT;1.159529;9;1;5;1
20.11.2024;52291;AT;0.45688316;10;3;0;1
20.11.2024;52293;AT;0.6098981;8;3;7;1
20.11.2024;52305;AT;0.68042654;9;2;3;2
20.11.2024;52438;AT;0.69250387;9;2;7;2
20.11.2024;52449;AT;0.39378572;10;1;5;1
20.11.2024;52452;AT;0.74771136;9;1;7;1
20.11.2024;52471;AT;0.9137663;7;1;1;2
20.11.2024;52472;AT;1.3608531;8;1;7;2
20.11.2024;52477;AT;1.0828215;9;2;0;2
20.11.2024;52480;AT;0.32879525;7;3;7;1
20.11.2024;52487;AT;0.45688316;9;2;88;1
20.11.2024;52510;AT;0.6854701;8;2;0;2
20.11.2024;52519;AT;0.48490664;7;3;1;2
20.11.2024;52532;AT;1.3096625;7;1;7;2
20.11.2024;52545;AT;3.516255;4;3;0;2
20.11.2024;52573;AT;0.340339;7;2;6;2
20.11.2024;52600;AT;1.8296943;7;3;0;2
20.11.2024;52616;AT;1.0159594;8;1;3;1
